番号,誤差,誤差10log10(e^2),白色信号
8536,0.000072,-41.413486,-0.102074
8537,0.000652,-31.856895,-0.075116
8538,0.000177,-37.520560,-0.297486
8539,0.000000,-64.788820,1.141805
8540,0.000617,-32.097600,-1.318781
8541,0.000045,-43.459780,-0.567190
8542,0.000067,-41.715497,0.007297
8543,0.000211,-36.765365,2.156801
8544,0.000213,-36.721196,-0.117871
8545,0.001680,-27.746893,1.574056
8546,0.001133,-29.456088,2.248774
8547,0.000659,-31.809876,-0.232902
8548,0.000326,-34.868326,0.033789
8549,0.002639,-25.786340,1.865719
8550,0.002651,-25.765923,-1.239905
8551,0.000238,-36.241767,1.012126
8552,0.001152,-29.386325,-0.044325
8553,0.000045,-43.455462,1.247384
8554,0.002016,-26.954926,-0.164796
8555,0.000075,-41.225176,-1.754210
8556,0.001273,-28.952251,-1.030270
8557,0.000053,-42.757953,-0.218925
8558,0.000370,-34.318047,1.307182
8559,0.001555,-28.083279,1.128193
